00087a6bd4dc_01,550,428,1412,1121
00087a6bd4dc_02,317,424,1380,1127
00087a6bd4dc_03,182,424,1562,1120
00087a6bd4dc_04,128,428,1744,1087
00087a6bd4dc_05,147,431,1879,1027
00087a6bd4dc_06,242,433,1886,1095
00087a6bd4dc_07,385,433,1871,1131
00087a6bd4dc_08,516,433,1749,1133
00087a6bd4dc_09,550,433,1463,1116
00087a6bd4dc_10,192,432,1339,1125
00087a6bd4dc_11,40,429,1482,1123
00087a6bd4dc_12,29,427,1637,1083
00087a6bd4dc_13,48,424,1750,1016
00087a6bd4dc_14,182,422,1793,1076
00087a6bd4dc_15,370,428,1759,1111
00087a6bd4dc_16,551,423,1648,1118
02159e548029_01,594,191,1349,906
02159e548029_02,433,191,1343,925
02159e548029_03,325,190,1476,925
02159e548029_04,302,189,1592,905
02159e548029_05,300,184,1671,858
02159e548029_06,364,178,1665,920
02159e548029_07,473,157,1652,952
02159e548029_08,572,148,1560,956
02159e548029_09,617,143,1384,936
02159e548029_10,385,170,1328,952
02159e548029_11,271,149,1431,950
02159e548029_12,254,157,1545,916
02159e548029_13,252,169,1618,857
02159e548029_14,323,178,1617,905
02159e548029_15,445,188,1602,925
02159e548029_16,576,211,1502,923
03a857ce842d_01,568,284,1431,1082
03a857ce842d_02,295,290,1369,1106
03a857ce842d_03,124,282,1497,1100
03a857ce842d_04,63,284,1615,1052
03a857ce842d_05,93,270,1665,986
03a857ce842d_06,222,261,1656,1031
03a857ce842d_07,385,249,1624,1047
03a857ce842d_08,523,245,1525,1038
03a857ce842d_09,559,242,1354,1013
03a857ce842d_10,357,241,1336,1032
03a857ce842d_11,265,246,1484,1033
03a857ce842d_12,256,255,1654,1012
03a857ce842d_13,269,264,1798,966
03a857ce842d_14,334,273,1851,1036
03a857ce842d_15,456,283,1824,1083
03a857ce842d_16,580,285,1692,1096
0495dcf27283_01,529,479,1283,1095
0495dcf27283_02,375,479,1313,1090
0495dcf27283_03,229,481,1457,1070
0495dcf27283_04,205,483,1590,1038
0495dcf27283_05,212,486,1648,1002
0495dcf27283_06,286,488,1665,1042
0495dcf27283_07,404,491,1654,1072
0495dcf27283_08,538,494,1540,1078
0495dcf27283_09,570,494,1362,1058
0495dcf27283_10,400,494,1339,1082
0495dcf27283_11,265,493,1461,1088
0495dcf27283_12,207,492,1587,1063
0495dcf27283_13,201,488,1663,1020
0495dcf27283_14,252,486,1660,1052
0495dcf27283_15,366,483,1622,1080
0495dcf27283_16,484,481,1487,1091
04bd942b463b_01,535,416,1319,1091
04bd942b463b_02,302,417,1322,1093
04bd942b463b_03,147,414,1498,1072
04bd942b463b_04,108,417,1656,1027
04bd942b463b_05,110,421,1706,980
04bd942b463b_06,197,422,1712,1015
04bd942b463b_07,340,423,1706,1045
04bd942b463b_08,518,424,1585,1048
04bd942b463b_09,566,424,1319,1030
04bd942b463b_10,342,424,1343,1047
04bd942b463b_11,199,424,1491,1052
04bd942b463b_12,168,422,1669,1025
04bd942b463b_13,164,421,1744,983
04bd942b463b_14,214,421,1766,1032
04bd942b463b_15,359,418,1727,1075
04bd942b463b_16,518,414,1603,1095
0789bed99cb8_01,538,462,1307,1095
0789bed99cb8_02,362,462,1249,1098
0789bed99cb8_03,212,463,1390,1107
0789bed99cb8_04,143,464,1555,1077
0789bed99cb8_05,147,465,1633,1028
0789bed99cb8_06,216,466,1639,1063
0789bed99cb8_07,375,467,1600,1105
0789bed99cb8_08,508,467,1463,1105
0789bed99cb8_09,501,467,1268,1083
0789bed99cb8_10,310,467,1210,1093
0789bed99cb8_11,166,466,1328,1100
0789bed99cb8_12,121,464,1510,1062
0789bed99cb8_13,138,463,1594,1015
0789bed99cb8_14,216,463,1622,1051
0789bed99cb8_15,419,463,1579,1096
0789bed99cb8_16,565,463,1452,1096
0795e132d090_01,608,389,1405,1105
0795e132d090_02,353,389,1351,1131
0795e132d090_03,194,369,1527,1131
0795e132d090_04,147,388,1729,1078
0795e132d090_05,143,389,1808,1025
0795e132d090_06,218,389,1770,1072
0795e132d090_07,402,389,1753,1105
0795e132d090_08,553,389,1583,1098
0795e132d090_09,467,389,1306,1076
0795e132d090_10,220,389,1300,1091
0795e132d090_11,104,389,1454,1085
0795e132d090_12,136,389,1656,1040
0795e132d090_13,134,389,1731,1002
0795e132d090_14,226,389,1755,1057
0795e132d090_15,445,389,1750,1111
0795e132d090_16,623,389,1617,1117
08a646be6b30_01,587,253,1279,908
08a646be6b30_02,415,243,1276,922
08a646be6b30_03,280,270,1390,921
08a646be6b30_04,239,252,1457,888
08a646be6b30_05,242,168,1461,852
08a646be6b30_06,284,287,1454,870
08a646be6b30_07,383,264,1455,890
08a646be6b30_08,522,275,1390,891
08a646be6b30_09,598,264,1249,873
08a646be6b30_10,467,163,1287,886
08a646be6b30_11,400,176,1407,891
08a646be6b30_12,390,182,1538,873
08a646be6b30_13,394,231,1596,845
08a646be6b30_14,396,213,1609,876
08a646be6b30_15,462,229,1585,912
08a646be6b30_16,557,269,1489,923
0cdf5b5d0ce1_01,565,297,1311,911
0cdf5b5d0ce1_02,368,291,1311,927
0cdf5b5d0ce1_03,216,293,1489,928
0cdf5b5d0ce1_04,164,294,1650,896
0cdf5b5d0ce1_05,160,297,1708,860
0cdf5b5d0ce1_06,227,303,1716,886
0cdf5b5d0ce1_07,336,304,1695,916
0cdf5b5d0ce1_08,495,306,1560,925
0cdf5b5d0ce1_09,557,306,1296,907
0cdf5b5d0ce1_10,323,306,1296,918
0cdf5b5d0ce1_11,168,306,1439,920
0cdf5b5d0ce1_12,124,303,1585,892
0cdf5b5d0ce1_13,134,302,1667,852
0cdf5b5d0ce1_14,197,299,1682,882
0cdf5b5d0ce1_15,349,293,1656,918
0cdf5b5d0ce1_16,510,292,1551,928
0ce66b539f52_01,559,368,1420,1076
0ce66b539f52_02,293,369,1347,1085
0ce66b539f52_03,141,369,1506,1075
0ce66b539f52_04,63,371,1663,1038
0ce66b539f52_05,85,372,1764,966
0ce66b539f52_06,197,372,1763,1017
0ce66b539f52_07,338,372,1748,1046
0ce66b539f52_08,482,372,1656,1047
0ce66b539f52_09,580,371,1427,1028
0ce66b539f52_10,268,371,1306,1035
0ce66b539f52_11,132,371,1455,1037
0ce66b539f52_12,113,369,1617,1012
0ce66b539f52_13,132,369,1761,954
0ce66b539f52_14,222,369,1818,1015
0ce66b539f52_15,374,368,1794,1057
0ce66b539f52_16,542,368,1680,1071
0d1a9caf4350_01,512,159,1234,897
0d1a9caf4350_02,375,232,1266,909
0d1a9caf4350_03,267,244,1422,906
0d1a9caf4350_04,246,165,1536,877
0d1a9caf4350_05,271,203,1587,843
0d1a9caf4350_06,330,199,1598,875
0d1a9caf4350_07,432,132,1602,906
0d1a9caf4350_08,566,221,1512,915
0d1a9caf4350_09,611,231,1332,902
0d1a9caf4350_10,432,139,1332,922
0d1a9caf4350_11,310,131,1450,928
0d1a9caf4350_12,256,142,1553,906
0d1a9caf4350_13,235,143,1596,866
0d1a9caf4350_14,267,150,1588,896
0d1a9caf4350_15,366,188,1532,921
0d1a9caf4350_16,492,254,1422,922
0d3adbbc9a8b_01,520,277,1358,995
0d3adbbc9a8b_02,314,273,1345,1011
0d3adbbc9a8b_03,154,277,1560,1011
0d3adbbc9a8b_04,85,269,1731,976
0d3adbbc9a8b_05,113,274,1808,935
0d3adbbc9a8b_06,203,274,1823,970
0d3adbbc9a8b_07,321,273,1808,1002
0d3adbbc9a8b_08,493,289,1671,1010
0d3adbbc9a8b_09,540,272,1375,989
0d3adbbc9a8b_10,265,285,1369,1010
0d3adbbc9a8b_11,106,275,1521,1012
0d3adbbc9a8b_12,53,273,1665,985
0d3adbbc9a8b_13,55,271,1759,937
0d3adbbc9a8b_14,128,272,1789,976
0d3adbbc9a8b_15,282,271,1731,1011
0d3adbbc9a8b_16,458,290,1611,1017
0d53224da2b7_01,480,283,1313,952
0d53224da2b7_02,226,283,1306,952
0d53224da2b7_03,55,284,1506,947
0d53224da2b7_04,46,286,1676,902
0d53224da2b7_05,57,286,1735,856
0d53224da2b7_06,138,287,1720,883
0d53224da2b7_07,299,288,1744,910
0d53224da2b7_08,492,288,1633,915
0d53224da2b7_09,529,289,1332,896
0d53224da2b7_10,261,289,1369,916
0d53224da2b7_11,128,291,1540,921
0d53224da2b7_12,123,289,1720,900
0d53224da2b7_13,94,288,1796,860
0d53224da2b7_14,141,287,1796,902
0d53224da2b7_15,284,286,1779,946
0d53224da2b7_16,462,284,1654,961
0de66245f268_01,514,348,1386,1056
0de66245f268_02,272,348,1358,1048
0de66245f268_03,151,349,1525,1041
0de66245f268_04,108,349,1688,1003
0de66245f268_05,145,351,1819,940
0de66245f268_06,256,352,1836,1000
0de66245f268_07,405,352,1828,1032
0de66245f268_08,529,352,1725,1035
0de66245f268_09,613,352,1484,1025
0de66245f268_10,281,352,1354,1036
0de66245f268_11,113,351,1503,1038
0de66245f268_12,81,351,1660,1007
0de66245f268_13,87,349,1774,943
0de66245f268_14,206,349,1806,1011
0de66245f268_15,383,348,1753,1048
0de66245f268_16,537,348,1643,1051
0ed6904e1004_01,439,192,1472,1161
0ed6904e1004_02,130,164,1367,1180
0ed6904e1004_03,0,262,1639,1161
0ed6904e1004_04,0,261,1890,1091
0ed6904e1004_05,0,262,1917,1023
0ed6904e1004_06,23,259,1917,1067
0ed6904e1004_07,205,258,1917,1126
0ed6904e1004_08,413,259,1917,1148
0ed6904e1004_09,458,259,1474,1126
0ed6904e1004_10,29,259,1410,1146
0ed6904e1004_11,0,260,1568,1141
0ed6904e1004_12,0,259,1791,1090
0ed6904e1004_13,0,259,1917,1022
0ed6904e1004_14,0,261,1917,1081
0ed6904e1004_15,182,183,1917,1152
0ed6904e1004_16,419,232,1806,1181
0ee135a3cccc_01,473,374,1337,1082
0ee135a3cccc_02,220,373,1319,1076
0ee135a3cccc_03,104,374,1467,1061
0ee135a3cccc_04,85,374,1618,1015
0ee135a3cccc_05,117,376,1733,945
0ee135a3cccc_06,237,377,1753,996
